text,label
จะไม่พูดแรงนะครับ แต่มันมีเส้นบางๆระหว่าง นิสัย กับ สันดาน ,1
จริงๆ ไม่ใช่เงินมันแล้วจะมาบ่นทำไมเงินก็ไม่ได้หาเอง,0
ผมเป็นคนไม่สนับสนุน แต่ที่คุณว่ามาทั้งหมดนี้ ผมไม่ได้ทำเรื่องที่ว่ามานี้เลยนะ ผมก็อยู่เฉยๆ เล่นเกมและทำงานไปวันๆ ไม่ได้มาด่ามาว่าคนเห็นต่าง ไม่ได้ยุ่งเรื่องของคนอื่นเพราะต่างคนต่างอยู่ เพราะชีวิตคนเรามันไม่เหมือนกัน โปรดฝากเอาไว้ด้วย,0
หมายถึงคนที่ทำแบบที่กล่าวมาไงครับ ถ้าไม่ได้ทำ ก็แปลว่าคุณไม่ได้ไปเบียดเบียนสิทธิคนอื่นที่เขาจะเล่นเกม ซึ่งดีแล้วครับ ผมว่าประเด็นเลยนะ สำหรับเรื่องที่เกิดขึ้นนี้ มันไม่ได้อยู่ที่เกลียดเจเคหรือไม่เกลียด เห็นด้วยหรือไม่สนับสนุน,0
ใส่นัวเริ่มจะเป็นบริษัทและมีทีมงานอย่างเป็นจริงเป็นจังแล้วครับ แกน่าจะรักษาสิทธิ์และชื่อเสียงของตัวเองและบริษัทเอาไว้ แกน่าจะฟ้องจริงจังแล้ว,0
ที่ผ่านมาผมไม่เคยสนใจเรื่องรสนิยมทางเพศหรือเพศสภาพของคนรอบข้างเลย แต่ตอนนี้เริ่มรู้สึกกลัว LGBTQ+ เหมือนพวกเขานี่แหละที่คิดมากกับเรื่องเพศของตัวเอง ใครพูดอะไรนิดหน่อยหรือแตะต้องไม่ได้เลย,0
นิสัย3กีบ ก็เป็นแบบนี้ อยากให้คนอื่นครบสิทธิ ของตัวเอง แต่ตัวเองไม่เคารพสิทธิของคนอื่น เป็นกำลังใจให้พี่เอกครับ,1
คนแบบนี้ต้องใช้ศาลเตี้ยเท่านั้น มันตบมา เราตบกลับ,1
ถ้าเป็นเรา เราก็อายนะโดนตบต่อหน้าคนเยอะแยะ จะเจ็บมากเจ็บน้อยแต่ที่แน่ๆเจ็บใจแน่ๆ,0
ทนายตั้มบอกแก่เพราะกินข้าว นึกว่าแก่เพราะกินหญ้า5555,1
ไปทำแบบนึ้ไม่ได้มันเกินไป ถ้าเป็นคนเอาเรื่องเขาชกกลับแล้ว แบบนี้เขาเรียกว่าสาระเลวเลย,1
มันจะไปรู้สึกอะไรครับ ก็สันดานมันเป็นแบบนี้,1
ไม่เกี่ยวกับดวงเกี่ยวกับสันดาน,1
ไม่ว่าจะผ่านไปกี่ปี ลุงท่านนี้ก็ยังคงคอนเซ็ป ฝีปากกล้า ประชดเก่ง สันดานเดิม คงเส้นคงวาจริงๆ และคงเปลี่ยนไม่ได้แล้ว,1
ตบเห็นๆมาบอกว่าไม่ตบได้ไงครับ,0
คนที่ไปชกคนอื่นแล้วยังมีพวกไปบริจากเงินให้แบบนั้นเรียกว่าสนับสนุนคนเลวมั้ย,0
นที่ไปร้องเรียนแกล้งคนอื่น แต่สมาคมตัวเองตั้งขึ้นมาหลอกเค้าชื่อคนอื่นมาใส่โดยไม่ได้รับอนุญาติสมควรโดนตีนไหมครับ,1
ทั้งนี้ ได้มีหลายคนสอบถามเข้ามาด้วยความตั้งใจที่จะขอซื้อไก่กลายพันธุ์ตัวนี้ แต่เจ้าของยืนยันว่ายังไม่มีความคิดจะขาย แต่ก็ยังมีคนพยายามไปที่บ้านของเขาเพื่อขอดูไก่ ถึงขนาดพร้อมจ่ายเงินซื้อ 50 ล้านดอง (ประมาณ 7.2 หมื่นบาท) แต่เขาก็ยังยืนยันว่าไม่ขาย,0
เมื่อเด็กมาถึงครูนับได้ 18 แต่ลดให้เหลือ 13 ครั้ง ก่อนที่ครูจะใช้ไม้เรียวตีที่ก้นอย่างรุนแรงสลับกันจนครบคนละ 13 ครั้ง นอกจากนี้ครูยังท้าให้ไปฟ้องผู้ปกครองได้เลย เพราะไม่กลัว,0
ล่าสุด เจ้าของยังเปิดเผยด้วยว่า เขาได้ทดลองผสมพันธุ์ไก่ไม่มีขนตัวนี้และประสบความสำเร็จในการขยายพันธุ์ไก่ไม่มีขนอีกตัว เขาหวังว่านี่จะเป็นโอกาสให้เขาได้พัฒนาไก่สวยงามชนิดนี้เพื่อหารายได้มาเลี้ยงดูครอบครัว,0
ไม่ใช่แค่ นาราเครปกะเทย แต่อาหารเสริมลดน้ำหนักดังๆ เกือบทั้งหมดในอดีต ก็ตรวจเจอสารที่ส่งผลกับประสาท หนังเรื่องเดิมแต่เปลี่ยนคนแสดงเฉยๆ ใครอยากลดน้ำหนัก อย่าหวังพึ่งยาเลย ออกกำลังกาย คุมอาหาร เข้าวงการเบเบ้เถอะ ถ้ามันมีทางลัด แอนทอง แต้ว คิมเบอรี่ ไม่ออกกำลังกายหนักขนาดนี้หรอก,0
มึงงงง มันไม่ได้ป่ะ ทัศนคติเค้าติดลบไปหมดเลย ตอนแรกก็งงนะจากแม่ค้าขายเครป ดังขึ้นมา มีโอกาส มึคนรักตั้งเยอะ ทำไมยังเอาตัวเองไปลงหลุม ตอนนี้กระจ่างแล้วจ้าา,0
ความพยายามอยู่ที่ไหน คุกอยู่ที่นั่น,0
มันก็วนลูปออกมาร้องไห้ ขอโทษ วนไปแบบนี้ถ้ารอบนี้ยังไม่โดนอะไรหนักเค้าก็จะออกมาทำแบบเดิม เพราะดูท่าแล้วคงไม่สำนึก เพราะถ้าสำนึกไม่ร้องเพลง ฝากขายของระหว่างถูกจับหรอก,0
นารายอมรับกับชุดจัดกุมว่าไม่ได้ใส่ทองลงไปในกล่องตามที่โฆษณาไว้ จนท.ขอยึดทองเป็นของกลางไว้ ,0
ขอมอบเพลงนี้ให้ทุกคู่ที่เลิกรากันไปนะคะ ใครที่กำลังหมดหวังเรื่องความรัก หันมาไล่ไอ้แม้ว พรรคเพื่อควาย แล้วเลือกพลเอกประยุทธ์ เป็นนายกต่ออีก 4 สมัยค่ะ ,1
พูดจากใจ รู้สึกสมน้ำหน้านารามาก นางไม่ใช่คนขยันทำมาหากิน แต่นางคือคนที่ขยันหาช่องทางแบบรวยทางลัด ตั้งแต่พยายามยัดตัวเองเข้าแก๊งหิ้วหวี วิ่งหาแสงแบบไม่สนวิธีการใดๆ เพียงเพราะอยากได้อยากมี อยากอวดรวย,0
ยังคงอยากถามพระเจ้าว่าทำไมถึงส่งกุมาเกิดในประเทศเฮงซวยที่บริหารด้วยคนโง่ ,1
ทำไมไทย ถึงไม่ควรมีโรงไฟฟ้านิวเคลียร์ ผลกระทบสิ่งแวดล้อมไม่ใช่ปัญหาหลักหรอก ปัญหาหลักคือ รัฐไทย แม่งชุ่ย ทั้งระบบ เรื่องด่วนเรื่องตายของปชชหมู่มาก คือไม่ด่วนชนะตามเวลาราชการหรอก เว้นแต่รัฐจะต้องการให้ด่วน นี่แค่ระดับโรงไฟฟ้าเล็ก ๆ นะเนี่ย,1
แล้วมาบอกนักข่าวให้ช่วยตรวจสอบ อะไรวะ สรุปมันหน้าที่ใคร แถมมาอวยโรงงานให้ฟัง กุฟังอะไรอยู่ ,1
ลมในชั้นบรรยากาศช่วงนี้พัดขึ้นเหนือ,0
สิ่งที่ไม่ชอบที่สุดในการแถลงนอกจากจะพูดไม่เข้าประเด็นแล้ว ยังมีการถามว่านักข่าวมาจากช่องไหน เป็นคำถามที่แบบถามเพื่ออะไรอ่ะ จะไปทำอะไรเค้าหรอ,0
ขอเนื้อๆเลยได้ไหมคะ ว่าสรุปมันหลอมไปแล้วหรือยัง แล้วมาตราการป้องกันจากคืออะไร หนูไม่ได้อยากทราบว่าคุณพี่ขับรถกลับบ้านกี่โมงค้าาา โอ้ยยยยยจะตายห่ากันหมดแล้ว,1
อันนี้ทวิตเตอร์พี่คิมจริงๆตัวจริงเสียงจริง จะจำพาสได้ก็เวลาละครออน แซวเล่น ไปกดฟอโล่ฟอใจ เป็นกำลังใจให้ชีบัวกันได้น้า,0
อ้ยยยอันนี้น่ารักกกกก เหมือนพุงคิมจะออกป้ะ คิมเลยลุกขึ้นมาแล้วพูดว่า พุงหรอ ละดึงเสื้อมาปิดแล้วทำหน้าน่ารักน่าหมั่นเขี้ยวสุด งึ้ยยยย,0
รื่องนี้ต้องเป็นแพทคิมจริงๆแหละ,0
ล่มทุกวัน วีคละ 3-4รอบ สงสัยต้องเปลี่ยนจริงๆและ ไม่งั้นเวลาออกมากินข้าว ไม่มีเงินสด สงสัยต้องล้างจานใช้เขา,0
ขับเคลื่อนด้วยการด่าจริงๆอิสัส,1
เหมือนพูดใส่หูแล้วออกเลย แต่อน่กได้เวินนะ ศิลปินโปรโมทฝ่ายเดียวก็ไม่ได้ไหม ค่ายควรทำเป็นหลักค่ะ อีโก้หัดลดบ้างก็ดีนะคะ,0
นี่ถ้าไม่มีเงินจากแบงก์อื่นก็ชิบหายละนะเนี่ย,1
งานที่ระยอง คอนเสิร์ตไทเท ทำไมแอทมินไม่ลงงานของอิงฟ้าคะ,0
โดนบล็อคจากด้อมต้าวแล้ว ขอหม่ามี้เป็นที่พึ่งสุดท้าย หวังว่ามี้จะได้เห็น และส่งต่อถึงต้าวต่อไปนะคะ ,0
นี่คือตยจากงานล่าสุดที่ไปค่ะ ผลพวงมาจากการทำงานที่ไม่มีระบบระเบียบขาดมาตรฐาน ออกตั๋วที่นั่งซ้ำกันถ้าวันนั้นคนเต็มเราจะทำไงคะ ยังไม่นับงานวันเกิด อฟ ที่ไปถึงแล้วไม่มีที่นั่งแพงสุดแต่หาที่นั่งไม่ได้เพราะปล่อยขายเกินจำนวนรึอะไรไม่รู้เลยต้องยืนรอเก้าอี้ไปก่อน,0
ไขข้อสงสัยละทำไมเขาถึงใช้การยุบสภาทั้งๆ ที่มันจะหมดวาระพฤหัสนี้,0
4 ปีแห่งความภาคภูมิใจ ทีได้รับใช้ประชาชน,0
อ่าวไปอยู่แม่กลอง เลย ถ้าปลาทูจะขายดีขนาดนี้,0
ถึงจะเล็กนิดเดียว แต่ก็มากมาย,0
จะมีเยอะไปทำมัยมีแต่ปัญหาหนักอกหนักใจ,0
เสียงเอกฉันท์ขนาดนี้ถ้าสินค้าหรือนักการเมืองคนไหนกล้าออกหน้ามาสปอนเซอร์หรือสนับสนุนการถ่ายทอด ก็เตรียมรับผลกระทบด้วยนะคะ,0
ร่วมแบนสินค้าที่เป็นผู้สนับสนุนถ่ายทอดสดซีเกมส์,0
ถ้ามันกวนตีนก็ไม่ดู กลับมาเอางบมาพัฒนากีฬาเราถ้าอยากดูเดี๋ยวหาลิ้งค์เถื่อนดูเอง,1
ครั้งนี้ไร้คุณภาพมาก ไม่เสียเวลาดูครับ,0
ถามคนไทยทุกคนยังอยากแลไหม,0
เก็บเงินไว้ดีกว่าคะ คนไทยส่วนใหญ่ไม่โอเคกับพฤติกรรมของเจ้าภาพที่มีต่อไทย,0
ยังจะเจรจาทำไม่อีกอ่ะ ประชาชนส่วนใหญ่ เขามีมติกันแล้ว ว่าไม่ดู ไม่ซื้อ ไม่ยอมเอาเงินภาษีของเราไปให้เขมร ไม่รู้เรื่องหรือไง กะอีแค่เขมร ไปให้ความสำคัญอะไรกะมันนักหนา,1
จะซื้อให้ได้เลยใช่มั้ย ทั้งที่เสียงคนไทยส่วนมากไม่ต้องการดู,0
เป็นการบ่นที่มีประโยชน์สุดๆกับลูกเพจค่ะ ขอบคุณคุณลุงมากๆค่ะ บ่นแบบนี้บ่อยๆนะคะ อยากเก่งเหมือนลุงค่ะ ,0
แงงตะเองเช่าชุดร้านไหนคะเนี้ย วาปได้ไหมคะ ,0
เข้าใจละ ทำใหม่ โดนตกกัน น่ารักมากๆค่ะ,0
ถ้าจ้างมาเล่นแพงไหมครับถามแบบไม่รู้จริง,0
พี่แจ๊สโกนหัวอีกและ อย่างนี้ก็มันมืออาจารย์นุ้ยเลยสิ,0
พี่แจ๊สโกนหัวแล้วหรอโกนทำไมพี่ไว้ผมดูหล่อกว่าตั้งเยอะ,0
ยิ่งเห็นแกออกรายการบ่อยๆยิ่งหลงรักทัศนคติแกนะครับ,0
ขโมยขึ้นบ้านจะรู้จักเห่าไหมเนี้ย หรือว่ากระดิกหางยินดีต้อนรับ ทั้งกลางวันและกลางคืน,0
เห็นมีแต่ข่าว ตามหา ตรวจวัดรังสี แต่ไม่เห็นมีการสอบสวน หาตัวคนที่แอบเอาออกมาจากโรงงานไฟฟ้าเลย ทำไมอะ คนในโรงไฟฟ้ามันเป็นหลานประยุดรึไง ถึงไม่มีใครกล้าแตะ หรือเรียกมาสอบเค้นไรเลย,0
เคลียร์ตั้งแต่เมื่อวานในทวิต เมื่อทราบปริมาณ ความอันตรายในระยะไหน,0
กรูว่าหาไม่เจอ ทำทรงเจอรอข่าวเงียบเเล้วก็ปล่อยไม่มีปัญหาตามหรอกสภาพ หายไปยังไม่รู้เลย,1
คนเก็บของเก่าเข้าไปโรงงานไฟฟ้าได้ง่ายขนาดนั้นเลยเหรอ ใครเข้าไปพนักงานรักษาความปลอดภัยต้องทราบอยู่แล้ว,0
ควรโดนคดีทั้งหมดทั้งไอ้โรงานกับไอ้คนรับซื้อ,1
ดูสภาพน็อตแล้วก็น่าจะหล่นหายอยู่แล้ว เกลียวแทบไม่มี ไม่ได้ช่อมบำรุงมาเป็นสิบปีละมั้ง,0
ตะกี้เหมือนจะป่วย บ้านอยู่เชียงราย พอดูโหนกะแสจบ ตอนนี้หายหล่ะ,0
เราชอบเสียงโจริญมาก มันเพราะแบบมีเอกลักษณ์ละมุน มาร้องอีกบ่อย ๆ น๊าาา,0
ใจเย็นๆคับไม่หายหรอกคับแค่เก็บไว้ในที่ปลอดภัย ข่าวลุงยุบสภาเงียบเลยคับ,0
ก่อนกระเพาะจะทะลุน่าจะเบาหวาน ความดัน กระดูกพังก่อนค่ะ,0
ถ้าจำไม่ผิดแค่กะเพราะเราจะบางขึ้นครับแต่น้ำอัดลมมีผลกับกระดูกครับทำให้กระดูกเปาะง่าย,0
ผมดูช่องเซียนหรั่งบ่อยมากครับ มันทำให้ผมคิดถึงบ้าน มาทำงานในกรุงเทพนานจนบางสิ่งบางอย่างลืมๆไปบ้าง ขอบคุณที่ทำคลิบวีถีอีสานบ้านเฮ้าเด้อครับ,0
เซียนหรั่งเจ้าคือจ๊าบแท้เสื้อม่วงกางเกงแดง,0
หาเหาใส่หัว หาเรื่องใส่ตัวเอง คราวนี้แหละคงต้องออกมาปฏิเสธรายวันว่าไม่ใช่คนนั้นคนนี้กันให้จ้าละหวั่น คนที่โดนพาดพิงจากการเดาสุ่มก็พากันเดือดร้อนไปหมด ,0
นางไม่ลบคลิปตัวปัญหาออกไปน่ะ นางยังเก็บไว้ดู มันคือความสุขของนาง,0
ความดังที่คนถวิลหา ช่วยให้หาเงินง่ายขึ้น มีโอกาส ช่องทางต่างๆในชีวิต แต่สิ่งที่แลกมา ก็แลกด้วยชีวิตเช่นกัน,0
ชมเชยได้ ติชมได้แต่อย่าลามปามจะดีกว่าถ้าไม่อยากมีหมายศาลมาที่บ้านนะจ๊ะ,1
นั้นนะ ดูไว้ทุกคน แบบนี้เขาเรียก ไอ้พวก อิจฉา อิจฉาคนอื่นจนร้อนไปทั่วร่างกายเขาเลย,0
คนไทยที่ไม่เคยพอใจอะไรสักอย่าง..ไอ้พวกที่ว่าเขา ไม่เหมาะสมเคยดู Content เขาหรือเปล่า,0
เอาเลื่อยมาหันแบ่งกันไปก็จบเฮ้อไอ้มนุษย์ขี้เหม็น,1
คอนเทนท์เหมือนกันไม่เท่าไหร่นะ แต่ก็อปยันหน้าปกคลิป แสดงให้เห็นถึงเราไม่มีไอเดียอะไรเลย ขนาดปกยังก็อป,0
เขาได้ สาขา วาไรตี้ นิ มันก็เหมาะสมด้วยประการทั้งปวง,0
ป็นเรื่องปกติครับพี่เนทมีคนรักต้องมีคนเกลียด ตัวผมผมชอบดูพี่ แต่ผมไม่เคยเกลียดยูทูปเบอไหนสักนิด,0
เหมาะสมเเล้วค่ะ ยินดีด้วยค่ะ อย่าไปแคร์ ต่างคนต่างคิด,0
คนที่เชียร์ช่องอื่นก็อยากให้ช่องที่ตัวเองชอบได้มันเลยเป็นดราม่า เดี๋ยวก็เงียบ,0
มันขี้ก็อปเล่นพิเรน เคยเอาเหรียญไปวางบนรางรถไฟ,1
ไอพวกที่ดราม่าก็แฟนคลับอีกช่องนึงนั่นแหละที่มันไม่เห็นด้วย,1
อย่างว่าแหละครับ เห็นอ่ะไรนิดๆหน่อย แซะกันฉิบหาย,1
เราเป็นคนแยกแยะระหว่างเรื่องงานกับเรื่องส่วนตัวนะ ถ้าเราชอบผลงาน เราก็ดู ส่วนนิสัยส่วนตัวของเขาจะเป็นยังไงก็ช่าง,0
เบลเป็นคนฉลาดรู้จักวางตัว แต่ก็ร้ายลึกแหล่ะเคยได้ยินมานานแล้ว,0
กูขำเกือบตายตอนเห็นเม้นนี้ เปโดจัดๆ,1
เบียวไม่ใช่เรื่องแปลกเเต่ถ้าทำแบบนี้เขาเรียกภัยสังคม,0
วหนูก็โดนเขาถามเหมือนกันค่ะว่ามีแฟนหรือยัง หนูตอบไปว่ามีแล้วเขาก็บอกว่าอย่าทำแบบนี้นะใส่ใจแฟนมากกว่านี้เป็นพี่พี่ก็ไม่ชอบอยู่ดีๆก็มาว่าหนูเฉยเลย,0
ผมว่าไม่ใช่ภาพยนตร์ไม่ควรฉายแต่คนทำงานในกองเซ็นเซอร์ต่างหากที่ไม่ควรมี เมื่อไหร่ประเทศนี้มันจะเลิกใช้งานคนแก่สักที ก๊ะเตี๋ยว ทำไมชอบพูดอะไรที่มันน่ารักเนี่ย,0
หุ่นพยนต์แบนฉากเณรลูกกอดแม่ แต่ในขณะเดียวกันหนังเรื่องขุนพันธ์พระทำคลอดได้ไม่โดนแบน คณะกรรมการใช้หัววว หรือหัวแม่ตีนตัดสินคะ อย่าง งง,1
เซ็งรอดูเรื่องนี้จริงๆนะ เป็นเรื่องที่อยากไปดูที่โรงหนัง,0
